001,G,1,L,Y,10,3
002,G,1,L,N,10,3
003,A,1,L,Y,10,1
004,F,2,H,Y,1,3
005,A,2,L,Y,10,2
006,F,1,L,Y,10,2
007,A,1,H,N,10,2
008,G,1,H,Y,10,1
009,A,1,H,Y,10,2
010,F,2,L,N,10,3
011,A,2,H,Y,10,2
012,A,1,L,N,10,2
013,F,2,L,Y,4,2
014,G,2,H,Y,10,1
015,F,2,L,N,9,3
016,F,2,L,N,10,1
017,F,2,H,N,1,1
018,F,2,L,Y,10,2
019,A,1,L,Y,10,1
020,G,2,H,Y,10,3
021,F,2,L,N,10,3
022,F,2,L,Y,10,2
023,A,2,L,Y,10,2
024,F,1,L,Y,10,3
025,G,2,H,Y,10,3
026,F,2,L,Y,10,2
027,A,1,H,Y,10,1
028,F,2,H,Y,10,2
029,G,2,H,N,10,3
030,A,1,L,N,10,2
031,F,2,L,Y,10,3
032,F,2,L,Y,10,2
033,G,2,L,Y,10,3
034,F,2,L,Y,10,2
035,F,2,L,Y,9,3
036,F,2,L,N,10,1
037,A,1,H,Y,10,1
038,F,2,L,Y,10,3
039,F,2,L,Y,10,3
040,G,1,H,Y,10,3
041,F,2,L,Y,10,2
042,F,2,L,N,7,2
043,A,1,H,N,10,2
044,A,1,H,Y,10,3
045,F,2,H,N,10,3
046,F,2,L,Y,10,3
047,F,1,L,Y,9,2
048,A,1,H,N,10,1
049,F,2,L,Y,10,1
050,F,2,L,Y,10,3
051,A,2,H,N,10,3
052,A,2,H,Y,10,1
053,F,2,L,N,10,3
054,F,2,L,Y,10,2
055,A,2,H,N,10,2
056,F,2,L,N,10,3
057,F,2,L,N,10,2
058,G,2,H,N,10,3
059,F,2,L,N,1,3
060,G,2,H,Y,10,1
061,F,1,H,N,10,1
062,F,2,L,N,10,3
063,G,1,H,N,10,3
064,G,1,L,Y,10,2
065,F,1,L,Y,10,3
066,F,1,L,Y,10,3
067,F,2,L,N,10,3
068,F,2,L,N,10,2
069,F,2,L,Y,10,1
070,F,2,L,Y,4,3
071,A,1,H,N,1,3
072,F,2,L,Y,10,1
073,F,2,L,Y,10,2
074,F,2,L,Y,10,2
075,G,1,H,Y,10,3
076,A,1,H,N,1,2
077,F,2,H,N,10,3
078,F,2,L,Y,10,3
079,A,1,H,Y,10,3
080,F,2,L,Y,4,3
081,G,1,H,Y,1,2
082,A,1,H,Y,10,3
083,F,2,L,N,10,2
084,A,1,H,N,10,3
085,G,1,H,N,10,1
086,F,2,L,Y,10,2
087,F,2,L,Y,10,1
088,F,2,L,N,1,3
089,A,1,L,N,10,1
090,F,2,L,N,9,3
091,A,1,L,Y,10,2
092,G,1,H,Y,10,3
093,A,2,L,Y,10,2
094,A,1,L,Y,10,1
095,G,1,H,Y,1,1
096,A,1,H,N,10,2
097,F,2,L,N,10,3
098,F,2,L,N,10,3
099,A,1,H,Y,10,3
100,F,1,L,N,10,1
101,A,1,L,Y,10,3
102,A,1,H,Y,10,3
103,G,1,H,Y,10,3
104,G,2,H,Y,10,3
105,F,2,H,Y,10,3
106,F,1,H,Y,10,2
107,F,2,H,N,10,1
108,A,2,H,Y,10,1
109,F,2,L,Y,10,3
110,A,2,H,Y,10,2
111,G,1,H,N,10,3
112,G,2,H,N,10,1
113,F,2,L,Y,10,3
114,F,2,L,N,7,3
115,A,2,L,Y,1,3
116,A,1,H,Y,10,3
117,G,1,H,Y,10,1
118,F,1,L,N,10,1
119,A,1,L,N,10,3
120,G,1,H,Y,10,2
121,A,2,H,Y,10,2
122,A,2,H,Y,10,2
123,F,1,L,Y,10,1
124,A,2,H,Y,1,3
125,A,2,H,Y,10,1
126,F,2,L,N,10,2
127,F,2,L,N,1,2
128,G,2,L,Y,10,1
129,G,1,H,Y,10,2
130,A,1,H,N,10,3
131,F,2,L,N,10,1
132,G,1,H,N,10,3
133,A,1,H,Y,10,1
134,A,1,H,Y,10,1
135,A,1,H,N,10,3
136,A,1,H,Y,10,2
137,F,2,L,Y,10,3
138,F,2,L,N,10,3
139,F,2,L,Y,4,3
140,G,1,H,Y,10,2
141,F,1,L,N,1,3
142,F,2,L,Y,10,3
143,F,2,H,N,10,2
144,A,1,H,N,10,3
145,F,2,L,N,1,1
146,F,1,L,Y,1,2
147,G,2,H,Y,10,1
148,F,2,L,Y,10,3
149,A,2,H,Y,10,3
150,F,2,L,N,10,3
151,F,2,L,Y,1,2
152,F,2,L,N,4,3
153,F,2,L,N,10,2
154,A,1,H,N,10,3
155,F,2,H,N,10,1
156,F,2,L,Y,10,3
157,F,2,L,N,10,2
158,A,1,H,Y,10,2
159,A,1,H,Y,10,3
160,A,1,H,N,1,3
161,F,2,L,Y,10,2
162,A,1,H,Y,10,3
163,F,2,L,Y,10,2
164,G,2,H,Y,10,3
165,F,1,L,Y,7,1
166,F,2,L,N,10,2
167,F,2,L,Y,10,2
168,F,1,L,N,10,3
169,G,1,H,N,10,3
170,A,1,L,Y,10,3
171,F,2,L,Y,10,1
172,G,1,L,Y,10,3
173,F,2,L,Y,10,2
174,F,1,H,N,10,1
175,F,2,L,N,10,3
176,F,2,L,N,10,3
177,A,2,H,Y,10,3
178,G,2,H,N,10,2
179,F,2,L,Y,10,3
180,A,2,H,Y,1,3
181,A,1,H,N,10,3
182,G,1,H,N,1,2
183,F,1,L,N,10,2
184,F,1,L,Y,10,3
185,F,1,L,Y,10,1
186,F,2,L,Y,10,2
187,A,1,H,N,10,3
188,G,1,L,Y,10,3
189,F,2,L,Y,10,3
190,F,2,L,Y,10,2
191,A,1,H,N,10,1
192,A,2,L,Y,10,1
193,A,1,H,N,10,3
194,F,1,L,N,10,1
195,F,2,L,N,10,3
196,A,1,H,Y,10,1
197,F,2,L,N,10,2
198,F,1,L,Y,10,3
199,F,2,H,N,10,2
200,F,2,L,Y,10,2
201,A,1,H,Y,10,2
202,F,1,L,Y,10,3
203,F,1,L,Y,7,1
204,A,2,H,N,10,3
205,F,2,L,N,10,1
206,A,1,H,N,1,2
207,G,1,H,Y,10,2
208,F,2,L,Y,7,3
209,F,2,L,N,10,1
210,G,2,H,Y,10,3
211,F,2,L,N,10,3
212,A,1,H,Y,10,3
213,F,2,L,Y,1,2
214,A,2,L,Y,10,2
215,F,2,L,N,9,3
216,A,1,H,N,10,3
217,G,1,H,Y,1,1
218,G,1,L,Y,10,2
219,F,2,L,Y,1,3
220,F,1,L,Y,10,3
221,F,2,L,N,9,1
222,A,2,H,N,10,2
223,A,2,H,N,10,1
224,F,2,L,Y,10,2
225,F,2,L,N,1,3
226,F,2,L,Y,1,1
227,F,2,H,Y,1,3
228,F,2,L,N,10,1
229,F,2,L,Y,7,1
230,A,1,H,Y,10,2
231,F,2,H,N,10,1
232,G,1,H,N,10,3
233,G,2,H,N,10,3
234,F,1,L,Y,10,3
235,G,1,H,N,10,1
236,A,1,H,N,1,2
237,F,1,L,N,1,3
238,F,2,L,Y,4,3
239,A,1,H,Y,10,2
240,G,1,H,Y,10,3
241,F,2,L,N,10,1
242,G,1,H,N,10,3
243,G,1,H,N,10,1
244,A,2,L,N,10,3
245,A,2,H,N,10,3
246,F,2,H,Y,10,3
247,F,2,L,Y,10,3
248,F,2,L,Y,1,3
249,G,2,H,Y,10,3
250,A,1,H,Y,10,2
251,A,1,H,N,10,2
252,A,1,H,N,10,1
253,A,2,H,Y,10,1
254,A,1,L,Y,10,1
255,F,2,H,N,10,3
256,F,2,L,Y,7,2
257,F,2,H,Y,10,3
258,A,1,H,N,10,3
259,F,1,L,N,10,1
260,A,2,H,Y,10,1
261,A,1,H,N,10,1
262,F,2,L,N,10,2
263,F,2,L,Y,10,2
264,F,2,L,Y,10,3
265,F,2,H,N,10,3
266,A,2,H,Y,10,2
267,F,2,H,Y,10,2
268,A,1,H,N,10,1
269,A,2,H,Y,10,2
270,F,2,L,N,10,1
271,A,1,H,Y,10,2
272,A,1,H,N,10,1
273,A,1,H,Y,10,3
274,A,1,H,N,1,3
275,A,1,L,N,10,2
276,F,1,L,Y,10,2
277,G,1,H,Y,10,3
278,F,2,L,N,10,2
279,A,1,H,N,10,3
280,G,1,L,Y,10,3
281,G,1,H,Y,10,1
282,G,1,L,Y,1,3
283,F,2,L,N,10,1
284,A,2,H,Y,1,3
285,A,1,H,Y,10,1
286,A,1,H,Y,10,3
287,G,1,H,N,10,2
288,G,2,H,N,10,3
289,F,2,L,Y,10,1
290,F,2,L,N,7,2
291,F,2,L,Y,10,1
292,F,2,L,N,10,1
293,F,2,L,Y,10,2
294,F,2,L,N,10,3
295,A,2,L,Y,10,3
296,F,2,L,Y,9,1
297,A,1,L,Y,1,2
298,F,1,L,Y,10,1
299,F,2,L,Y,10,2
300,F,2,L,Y,1,3
301,F,2,L,N,10,2
302,F,1,L,Y,10,1
303,A,1,H,Y,10,2
304,G,2,H,Y,10,3
305,G,1,H,N,10,2
306,F,2,H,N,10,2
307,F,2,L,N,10,2
308,F,2,L,N,7,1
309,A,2,H,N,1,3
310,F,2,L,Y,10,3
311,F,2,L,Y,10,3
312,F,2,L,Y,10,1
313,A,1,H,Y,10,3
314,F,2,L,N,10,3
315,A,2,L,Y,10,3
316,A,1,L,N,10,3
317,F,1,L,N,10,1
318,F,2,H,Y,4,3
319,A,2,H,N,10,3
320,A,1,H,Y,10,3
321,F,1,L,N,10,2
322,A,1,H,Y,1,2
323,A,1,H,Y,1,1
324,G,1,H,Y,10,3
325,F,1,L,N,1,1
326,F,1,L,N,10,3
327,F,1,H,Y,4,2
328,F,2,L,N,10,2
329,F,2,H,Y,10,3
330,F,2,L,Y,4,3
331,G,2,H,Y,10,3
332,A,2,L,Y,10,2
333,A,1,L,Y,10,3
334,F,2,L,N,10,3
335,F,2,L,Y,10,1
336,F,2,L,Y,10,3
337,F,2,L,N,10,2
338,A,1,L,Y,10,3
339,A,2,H,N,10,3
340,F,1,L,Y,10,2
341,F,2,L,Y,9,3
342,A,1,H,Y,10,2
343,A,1,H,Y,10,3
344,A,2,H,Y,1,3
345,A,1,H,Y,10,2
346,F,2,L,Y,9,2
347,F,2,H,N,10,3
348,F,2,H,N,7,3
349,A,1,H,N,10,1
350,A,1,L,N,10,2
351,F,2,L,N,10,3
352,A,2,L,Y,10,3
353,G,2,L,Y,10,3
354,F,2,L,N,10,2
355,F,2,L,N,10,3
